id,name,pokemon_id,form,generation_id,primary_type_id,secondary_type_id,hp,attack,defense,special_attack,special_defense,speed,height,weight
1,Bulbasaur,bulbasaur,,1,grass,poison,45,49,49,65,65,45,0.7,6.9
2,Ivysaur,ivysaur,,1,grass,poison,60,62,63,80,80,60,1,13
3,Venusaur,venusaur,,1,grass,poison,80,82,83,100,100,80,2,100
4,Venusaur,venusaur,Mega,1,grass,poison,80,100,123,122,120,80,2.4,155.5
5,Charmander,charmander,,1,fire,,39,52,43,50,50,65,0.6,8.5
6,Charmeleon,charmeleon,,1,fire,,58,64,58,65,65,80,1.1,19
7,Charizard,charizard,,1,fire,flying,78,84,78,85,85,100,1.7,90.5
8,Charizard,charizard,Mega-X,1,fire,dragon,78,130,111,130,85,100,1.7,110.5
9,Charizard,charizard,Mega-Y,1,fire,flying,78,104,78,159,115,100,1.7,100.5
10,Squirtle,squirtle,,1,water,,44,48,65,50,50,43,0.5,9
11,Wartortle,wartortle,,1,water,,59,63,80,65,65,58,1,22.5
12,Blastoise,blastoise,,1,water,,79,83,100,85,85,78,1.6,85.5
13,Blastoise,blastoise,Mega,1,water,,79,103,120,135,115,78,1.6,101.1
14,Caterpie,caterpie,,1,bug,,45,30,35,20,20,45,0.3,2.9
15,Metapod,metapod,,1,bug,,50,20,55,25,25,30,0.7,9.9
16,Butterfree,butterfree,,1,bug,flying,60,45,50,80,80,70,1.1,32
17,Weedle,weedle,,1,bug,poison,40,35,30,20,20,50,0.3,3.2
18,Kakuna,kakuna,,1,bug,poison,45,25,50,25,25,35,0.6,10
19,Beedrill,beedrill,,1,bug,poison,65,80,40,45,45,75,1,29.5
20,Beedrill,beedrill,Mega,1,bug,poison,65,150,40,15,80,145,1.4,40.5
21,Pidgey,pidgey,,1,normal,flying,40,45,40,35,35,56,0.3,1.8
22,Pidgeotto,pidgeotto,,1,normal,flying,63,60,55,50,50,71,1.1,30
23,Pidgeot,pidgeot,,1,normal,flying,83,80,75,70,70,91,1.5,39.5
24,Pidgeot,pidgeot,Mega,1,normal,flying,83,80,80,135,80,121,2.2,50.5
25,Rattata,rattata,,1,normal,,30,56,35,25,25,72,0.3,3.5
26,Rattata,rattata,Alola,1,dark,normal,30,56,35,25,35,72,0.3,3.8
27,Raticate,raticate,,1,normal,,55,81,60,50,50,97,0.7,18.5
28,Raticate,raticate,Alola,1,dark,normal,75,71,70,40,80,77,0.7,25.5
29,Raticate,raticate,Alola-Totem,1,dark,normal,75,71,70,40,80,77,1.4,105
30,Spearow,spearow,,1,normal,flying,40,60,30,31,31,70,0.3,2
31,Fearow,fearow,,1,normal,flying,65,90,65,61,61,100,1.2,38
32,Ekans,ekans,,1,poison,,35,60,44,40,40,55,2,6.9
33,Arbok,arbok,,1,poison,,60,85,69,65,65,80,3.5,65
34,Pikachu,pikachu,,1,electric,,35,55,30,50,50,90,0.4,6
35,Pikachu,pikachu,Cosplay,1,electric,,35,55,40,50,50,90,0.4,6
36,Pikachu,pikachu,Rock-Star,1,electric,,35,55,40,50,50,90,0.4,6
37,Pikachu,pikachu,Belle,1,electric,,35,55,40,50,50,90,0.4,6
38,Pikachu,pikachu,Pop-Star,1,electric,,35,55,40,50,50,90,0.4,6
39,Pikachu,pikachu,PhD,1,electric,,35,55,40,50,50,90,0.4,6
40,Pikachu,pikachu,Libre,1,electric,,35,55,40,50,50,90,0.4,6
41,Pikachu,pikachu,Original,1,electric,,35,55,40,50,50,90,0.4,6
42,Pikachu,pikachu,Hoenn,1,electric,,35,55,40,50,50,90,0.4,6
