id,pokemon_id,generation_id,hp,attack,defense,special_attack,special_defense,speed,meta
1,1,1,45,49,49,65,65,45,bulbasaur -- generation 1
2,2,1,60,62,63,80,80,60,ivysaur -- generation 1
3,3,1,80,82,83,100,100,80,venusaur -- generation 1
4,4,1,39,52,43,50,50,65,charmander -- generation 1
5,5,1,58,64,58,65,65,80,charmeleon -- generation 1
6,6,1,78,84,78,85,85,100,charizard -- generation 1
7,7,1,44,48,65,50,50,43,squirtle -- generation 1
8,8,1,59,63,80,65,65,58,wartortle -- generation 1
9,9,1,79,83,100,85,85,78,blastoise -- generation 1
10,10,1,45,30,35,20,20,45,caterpie -- generation 1
11,11,1,50,20,55,25,25,30,metapod -- generation 1
12,12,1,60,45,50,80,80,70,butterfree -- generation 1
13,13,1,40,35,30,20,20,50,weedle -- generation 1
14,14,1,45,25,50,25,25,35,kakuna -- generation 1
15,15,1,65,80,40,45,45,75,beedrill -- generation 1
16,16,1,40,45,40,35,35,56,pidgey -- generation 1
17,17,1,63,60,55,50,50,71,pidgeotto -- generation 1
18,18,1,83,80,75,70,70,91,pidgeot -- generation 1
19,19,1,30,56,35,25,25,72,rattata -- generation 1
20,20,1,55,81,60,50,50,97,raticate -- generation 1
21,21,1,40,60,30,31,31,70,spearow -- generation 1
22,22,1,65,90,65,61,61,100,fearow -- generation 1
23,23,1,35,60,44,40,40,55,ekans -- generation 1
24,24,1,60,85,69,65,65,80,arbok -- generation 1
25,25,1,35,55,30,50,50,90,pikachu -- generation 1
26,26,1,60,90,55,90,90,100,raichu -- generation 1
27,27,1,50,75,85,30,30,40,sandshrew -- generation 1
28,28,1,75,100,110,55,55,65,sandslash -- generation 1
29,29,1,55,47,52,40,40,41,nidoranf -- generation 1
30,30,1,70,62,67,55,55,56,nidorina -- generation 1
31,31,1,90,82,87,75,75,76,nidoqueen -- generation 1
32,32,1,46,57,40,40,40,50,nidoranm -- generation 1
33,33,1,61,72,57,55,55,65,nidorino -- generation 1
34,34,1,81,92,77,75,75,85,nidoking -- generation 1
35,35,1,70,45,48,60,60,35,clefairy -- generation 1
36,36,1,95,70,73,85,85,60,clefable -- generation 1
37,37,1,38,41,40,65,65,65,vulpix -- generation 1
38,38,1,73,76,75,100,100,100,ninetales -- generation 1
39,39,1,115,45,20,25,25,20,jigglypuff -- generation 1
40,40,1,140,70,45,50,50,45,wigglytuff -- generation 1
41,41,1,40,45,35,40,40,55,zubat -- generation 1
42,42,1,75,80,70,75,75,90,golbat -- generation 1
43,43,1,45,50,55,75,75,30,oddish -- generation 1
44,44,1,60,65,70,85,85,40,gloom -- generation 1
45,45,1,75,80,85,100,100,50,vileplume -- generation 1
46,46,1,35,70,55,55,55,25,paras -- generation 1
47,47,1,60,95,80,80,80,30,parasect -- generation 1
48,48,1,60,55,50,40,40,45,venonat -- generation 1
49,49,1,70,65,60,90,90,90,venomoth -- generation 1
50,50,1,10,55,25,45,45,95,diglett -- generation 1
51,51,1,35,80,50,70,70,120,dugtrio -- generation 1
52,52,1,40,45,35,40,40,90,meowth -- generation 1
53,53,1,65,70,60,65,65,115,persian -- generation 1
54,54,1,50,52,48,50,50,55,psyduck -- generation 1
55,55,1,80,82,78,80,80,85,golduck -- generation 1
