id,pokemon_id,generation_id,primary_type_id,secondary_type_id,meta
1,1,1,5,8,"bulbasaur -- generation 1 -- grass,poison"
2,2,1,5,8,"ivysaur -- generation 1 -- grass,poison"
3,3,1,5,8,"venusaur -- generation 1 -- grass,poison"
4,4,1,2,,charmander -- generation 1 -- fire
5,5,1,2,,charmeleon -- generation 1 -- fire
6,6,1,2,10,"charizard -- generation 1 -- fire,flying"
7,7,1,3,,squirtle -- generation 1 -- water
8,8,1,3,,wartortle -- generation 1 -- water
9,9,1,3,,blastoise -- generation 1 -- water
10,10,1,12,,caterpie -- generation 1 -- bug
11,11,1,12,,metapod -- generation 1 -- bug
12,12,1,12,10,"butterfree -- generation 1 -- bug,flying"
13,13,1,12,8,"weedle -- generation 1 -- bug,poison"
14,14,1,12,8,"kakuna -- generation 1 -- bug,poison"
15,15,1,12,8,"beedrill -- generation 1 -- bug,poison"
16,16,1,1,10,"pidgey -- generation 1 -- normal,flying"
17,17,1,1,10,"pidgeotto -- generation 1 -- normal,flying"
18,18,1,1,10,"pidgeot -- generation 1 -- normal,flying"
19,19,1,1,,rattata -- generation 1 -- normal
20,20,1,1,,raticate -- generation 1 -- normal
21,21,1,1,10,"spearow -- generation 1 -- normal,flying"
22,22,1,1,10,"fearow -- generation 1 -- normal,flying"
23,23,1,8,,ekans -- generation 1 -- poison
24,24,1,8,,arbok -- generation 1 -- poison
25,25,1,4,,pikachu -- generation 1 -- electric
26,26,1,4,,raichu -- generation 1 -- electric
27,27,1,9,,sandshrew -- generation 1 -- ground
28,28,1,9,,sandslash -- generation 1 -- ground
29,29,1,8,,nidoranf -- generation 1 -- poison
30,30,1,8,,nidorina -- generation 1 -- poison
31,31,1,8,9,"nidoqueen -- generation 1 -- poison,ground"
32,32,1,8,,nidoranm -- generation 1 -- poison
33,33,1,8,,nidorino -- generation 1 -- poison
34,34,1,8,9,"nidoking -- generation 1 -- poison,ground"
35,35,1,1,,clefairy -- generation 1 -- normal
36,36,1,1,,clefable -- generation 1 -- normal
37,37,1,2,,vulpix -- generation 1 -- fire
38,38,1,2,,ninetales -- generation 1 -- fire
39,39,1,1,,jigglypuff -- generation 1 -- normal
40,40,1,1,,wigglytuff -- generation 1 -- normal
41,41,1,8,10,"zubat -- generation 1 -- poison,flying"
42,42,1,8,10,"golbat -- generation 1 -- poison,flying"
43,43,1,5,8,"oddish -- generation 1 -- grass,poison"
44,44,1,5,8,"gloom -- generation 1 -- grass,poison"
45,45,1,5,8,"vileplume -- generation 1 -- grass,poison"
46,46,1,12,5,"paras -- generation 1 -- bug,grass"
47,47,1,12,5,"parasect -- generation 1 -- bug,grass"
48,48,1,12,8,"venonat -- generation 1 -- bug,poison"
49,49,1,12,8,"venomoth -- generation 1 -- bug,poison"
50,50,1,9,,diglett -- generation 1 -- ground
51,51,1,9,,dugtrio -- generation 1 -- ground
52,52,1,1,,meowth -- generation 1 -- normal
53,53,1,1,,persian -- generation 1 -- normal
54,54,1,3,,psyduck -- generation 1 -- water
55,55,1,3,,golduck -- generation 1 -- water
56,56,1,7,,mankey -- generation 1 -- fighting
57,57,1,7,,primeape -- generation 1 -- fighting
58,58,1,2,,growlithe -- generation 1 -- fire
59,59,1,2,,arcanine -- generation 1 -- fire
60,60,1,3,,poliwag -- generation 1 -- water
61,61,1,3,,poliwhirl -- generation 1 -- water
62,62,1,3,7,"poliwrath -- generation 1 -- water,fighting"
63,63,1,11,,abra -- generation 1 -- psychic
64,64,1,11,,kadabra -- generation 1 -- psychic
65,65,1,11,,alakazam -- generation 1 -- psychic
66,66,1,7,,machop -- generation 1 -- fighting
67,67,1,7,,machoke -- generation 1 -- fighting
68,68,1,7,,machamp -- generation 1 -- fighting
69,69,1,5,8,"bellsprout -- generation 1 -- grass,poison"
70,70,1,5,8,"weepinbell -- generation 1 -- grass,poison"
71,71,1,5,8,"victreebel -- generation 1 -- grass,poison"
72,72,1,3,8,"tentacool -- generation 1 -- water,poison"
73,73,1,3,8,"tentacruel -- generation 1 -- water,poison"
74,74,1,13,9,"geodude -- generation 1 -- rock,ground"
75,75,1,13,9,"graveler -- generation 1 -- rock,ground"
76,76,1,13,9,"golem -- generation 1 -- rock,ground"
77,77,1,2,,ponyta -- generation 1 -- fire
78,78,1,2,,rapidash -- generation 1 -- fire
79,79,1,3,11,"slowpoke -- generation 1 -- water,psychic"
80,80,1,3,11,"slowbro -- generation 1 -- water,psychic"
81,81,1,4,,magnemite -- generation 1 -- electric
82,82,1,4,,magneton -- generation 1 -- electric
83,83,1,1,10,"farfetchd -- generation 1 -- normal,flying"
84,84,1,1,10,"doduo -- generation 1 -- normal,flying"
85,85,1,1,10,"dodrio -- generation 1 -- normal,flying"
86,86,1,3,,seel -- generation 1 -- water
87,87,1,3,6,"dewgong -- generation 1 -- water,ice"
88,88,1,8,,grimer -- generation 1 -- poison
89,89,1,8,,muk -- generation 1 -- poison
90,90,1,3,,shellder -- generation 1 -- water
91,91,1,3,6,"cloyster -- generation 1 -- water,ice"
92,92,1,14,8,"gastly -- generation 1 -- ghost,poison"
93,93,1,14,8,"haunter -- generation 1 -- ghost,poison"
